Processes: 469 total, 2 running, 467 sleeping, 1679 threads 
2021/10/11 12:20:06
Load Avg: 1.52, 1.87, 1.97 
CPU usage: 3.94% user, 11.18% sys, 84.86% idle 
SharedLibs: 283M resident, 38M data, 31M linkedit.
MemRegions: 84148 total, 2856M resident, 77M private, 764M shared.
PhysMem: 7890M used (2002M wired), 300M unused.
VM: 4266G vsize, 2321M framework vsize, 7413740(0) swapins, 8051695(0) swapouts.
Networks: packets: 2615023/4025M in, 3296906/1981M out.
Disks: 1429398/56G read, 633499/63G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS  COW    MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5539  XprotectService  0.0  00:00.05 2     1   36     3856K 0B    3816K 5539 1    sleeping *0[1]      0.00000 0.00000    501 3003    153    152      47       869      327      210       6       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5538  Preview          0.0  00:28.65 5     1   323    55M   928K  22M   5538 1    sleeping  0[802]    0.00000 0.00000    501 561442  640    301268   69370    170089   691475   196267    1656    2350    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5537  PlugInLibrarySer 0.0  00:00.00 2     1   20     544K  0B    528K  5537 1    sleeping *0[1]      0.00000 0.00000    501 679     100    112      37       408      210      68        20      0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5536  CoreServicesUIAg 0.0  00:00.18 3     1   191    4664K 0B    3480K 5536 1    sleeping  0[36]     0.00000 0.00000    501 7367    275    1646     372      3489     3963     2126      31      24      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5504  cfprefsd         0.0  00:01.55 2     1   139    960K  28K   156K  5504 1    sleeping *0[747]    0.00000 0.00000    501 4878    85     7409     2122     50147    10016    9666      0       140     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5482  PlugInLibrarySer 0.0  00:00.00 2     1   23     572K  0B    556K  5482 1    sleeping *0[1]      0.00000 0.00000    501 696     100    123      38       423      237      62        0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5454  VTDecoderXPCServ 0.0  00:00.21 2     1   68     15M   0B    15M   5454 1    sleeping *0[21]     0.00000 0.00000    501 14163   181    3272     1345     11495    2903     1104      18      11      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5453  com.apple.audio. 0.0  00:00.01 2     1   23     792K  0B    776K  5453 1    sleeping *0[2]      0.00000 0.00000    501 1055    120    117      40       569      231      74        23      1       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5416  com.apple.WebKit 0.0  00:09.29 4     1   99     60M   0B    59M   5416 1    sleeping  0[6401]   0.00000 0.00000    501 58627   468    61168    27698    113779   176136   74337     230     1006    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5406  com.apple.WebKit 0.0  00:00.23 4     1   99     5908K 0B    4828K 5406 1    sleeping  0[100]    0.00000 0.00000    501 19772   360    4946     2141     4258     6386     2132      28      60      0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5395  com.apple.WebKit 0.0  00:17.17 3     1   96     122M  0B    57M   5395 1    sleeping  0[7444]   0.00000 0.00000    501 169937  433    58784    25493    276720   221400   107671    862     966     0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5393  com.apple.WebKit 0.0  00:21.02 4     1   101    147M  0B    38M   5393 1    sleeping  0[3303]   0.00000 0.00000    501 300049  1553   48376    25643    313717   217948   110452    1436    1070    0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5384  ssh-agent        0.0  00:00.03 1     0   21     652K  0B    636K  5384 1    sleeping *0[1]      0.00000 0.00000    501 744     126    93       31       463      187      85        0       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5375  zsh              0.0  00:00.58 1     0   21     1372K 0B    556K  5375 5374 sleeping *0[1]      0.00000 0.00000    501 11532   4755   243      110      28380    326      3481      2       0       0.0   0      0      smasiner               N/A    N/A   N/A   N/A   N/A   N/A  
5374  login            0.0  00:00.05 2     1   31     1300K 0B    1284K 5374 5373 sleeping *0[9]      0.00000 0.00000    0   1847    203    126      31       20821    252      363       3       0       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
